Score,Total # of Trades,Current Trades,Unrated Trades,Curr Neg Trades,Hist Neg Trades,No. of Accts Paid,Curr Past Due,Amount Past due,30 Days,60 Days,90+ days,Inquiries,Inq. Last 6 Months,Public Records,Collections,Oldest Trade,Accounts Balance,Monthly Payment,Credit Limit,High Credit,Total Real Est. Bal,Total Rev. Bal,Tot. Installment Bal,Available %
728,3,3,0,0,0,0,0, $-   ,0,0,0,0,0,0,0,01/03/2010," $1,656.00 ", $35.00 ,"$32,450"," $24,375.00 ", $-   ," $1,656.00 ", $-   ,95%
584,65,18,0,1,0,7,19," $15,151.00 ",22,18,60,10,4,1,8,01/09/1991," $101,732.00 ", $555.00 ," $9,100.00 "," $126,202.00 ", $-   ," $11,959.00 "," $80,970.00 ",18%
681,17,9,0,1,0,2,1, $530.00 ,10,6,11,5,0,0,0,01/02/2005," $32,165.00 ", $402.00 ," $2,300.00 "," $46,204.00 ", $-   , $596.00 ," $31,039.00 ",74%
560,10,3,0,0,0,2,3," $14,034.00 ",5,3,11,3,0,0,1,01/11/2014," $91,021.00 ", $29.00 , $300.00 ," $107,085.00 ", $-   , $222.00 ," $76,765.00 ",26%
534,27,0,0,2,0,5,14," $12,935.00 ",18,11,10,5,1,0,12,01/12/2006," $32,219.00 ", $552.00 ," $1,500.00 "," $264,909.00 ", $-   ," $1,278.00 "," $18,981.00 ",15%
512,8,0,0,0,0,2,6," $71,083.00 ",0,0,0,0,0,0,5,01/09/2005," $71,083.00 ", $-   , $-   ," $61,303.00 ", $-   , $-   , $-   ,0%
581,19,9,0,0,0,1,6," $3,932.00 ",6,5,15,2,0,0,2,01/12/2014," $52,918.00 ", $397.00 , $-   ," $55,845.00 ", $-   ," $1,292.00 "," $48,986.00 ",0%
614,9,3,0,0,0,2,4," $4,329.00 ",0,0,0,12,0,0,2,01/11/2011," $4,869.00 ", $25.00 ," $1,001.00 "," $7,212.00 ", $-   , $540.00 , $-   ,46%
682,13,8,0,0,0,5,0, $-   ,0,0,0,7,4,0,0,01/02/2003," $220,703.00 "," $1,569.00 "," $29,890.00 "," $268,768.00 "," $191,831.00 "," $28,872.00 "," $191,831.00 ",3%
679,38,28,0,1,0,9,0, $-   ,1,0,0,1,0,0,0,01/12/1991," $279,585.00 "," $4,610.00 "," $106,030.00 "," $460,108.00 "," $210,354.00 "," $69,231.00 "," $210,354.00 ",35%
